Rank,Player,Position,College,Country,Score,Tier,Trait Score,Risk Penalty
1,"Cameron Boozer",PF/C,Duke,USA,81.94,Tier 3 - Starter,84.44,2.5
2,"Darryn Peterson",SG/PG,Kansas,USA,77.72,Tier 3 - Starter,80.22,2.5
3,"Mikel Brown",PG/SG,Miami,USA,72.56,Tier 4 - Rotation,77.56,5
4,"Jalen Harcum",PG/SG,NC State,USA,69.14,Tier 4 - Rotation,72.89,3.75
5,"Koa Peat",SF/PF,Arizona,USA,65.31,Tier 5 - Developmental,71.56,6.25
6,"Nikolas Khamenia",SF/PF,Duke,USA,64.56,Tier 5 - Developmental,69.56,5
7,"Caleb Holt",SF/SG,Alabama,USA,64.25,Tier 5 - Developmental,68,3.75
8,"Tyran Stokes",PF/SF,LSU,USA,58.06,Tier 5 - Developmental,65.56,7.5
9,"Brandon McCoy",C/PF,Alabama,USA,56.58,Tier 5 - Developmental,65.33,8.75
10,"Maddox Guers",C/PF,UConn,USA,56.5,Tier 5 - Developmental,64,7.5
