first_name,last_name,position,secondary_position,height_inches,weight_lbs,wingspan_inches,birth_date,college,country,draft_class
Cameron,Boozer,PF,C,80,245,84,2007-07-18,Duke,USA,2026
Darryn,Peterson,SG,PG,77,200,82,2007-09-01,Kansas,USA,2026
Koa,Peat,SF,PF,79,220,83,2006-01-15,Arizona,USA,2026
Brandon,McCoy,C,PF,83,250,90,2006-06-12,Alabama,USA,2026
Jalen,Harcum,PG,SG,75,185,78,2006-04-22,NC State,USA,2026
Mikel,Brown,PG,SG,74,180,77,2007-02-08,Miami,USA,2026
Tyran,Stokes,PF,SF,79,230,85,2007-05-20,LSU,USA,2026
Caleb,Holt,SF,SG,78,210,81,2006-11-03,Alabama,USA,2026
Maddox,Guers,C,PF,84,240,88,2006-08-14,UConn,USA,2026
Nikolas,Khamenia,SF,PF,79,215,82,2006-09-07,Duke,USA,2026
